name,score
Alt-Heiligkreuz,1.0
Alt-Kürenz,0.6170212765957447
Altstadt,0.9993821953268777
Barbara,0.9981014090566428
Biewer,1.0
Ehrang,0.9997194014678865
Ehrang-Quint,0.9997728488073367
Eitelsbach,1.0
Euren,0.9989315991994387
Feyen,0.9971767207045338
Feyen-Weismark,0.9981957662662718
Filsch,0.9490373428183918
Gartenfeld,0.6026795491664905
Heiligkreuz,1.0
Herresthal,1.0
Irsch,0.8541397332169333
Kernscheid,0.9836786437079328
Kürenz,0.5220357163859536
Mariahof,0.9995863892051305
Matthias,1.0
Maximin,0.9990276960262584
Mitte-Gartenfeld,0.9212813618640514
Nells-Ländchen,0.9997718981715477
Neu-Heiligkreuz,1.0
Neu-Kürenz,0.44513217132447913
Nord,0.9994178516735416
Olewig,0.5575900753987537
Pallien,0.9995337789378075
Pfalzel,0.9994873283002101
Quint,1.0
Ruwer,0.9999471244080436
Ruwer-Eitelsbach,0.9999529994738166
Süd,0.9991718911842803
Tarforst,0.9069813067153022
Trier,0.931917343985104
Weismark,0.9999411357984349
West,0.9998574443620187
West-Pallien,0.9997396006797631
Zewen,0.9993637442142782
